Gene	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
EMR3	0.61	12.3	2	4.39	5.34	1.2	2.36	6.12	2.11	2.79
RNASE7	0	0	0	0	0	0	0	0.06	0.19	0
CCDC62	0.23	0.7	0.25	0.43	0.67	0.26	0.63	0.45	0.61	0.6
DPY30	10.66	15.35	22.81	13.45	9.83	9.4	9.97	10.01	13.09	17
GLIS2	5.59	3.13	2.66	2.21	3.32	2.5	2.7	4.21	4.09	2.37
MYPN	2.29	0.8	4.02	0.8	2.57	1.35	1.08	1.32	1.38	1.5
RETNLB	0	0	0	0	0	0	0	0.01	0	0
HES7	0	0	0	0.19	0.04	0	0.12	0.02	0.08	0.16
FAM126A	30	30.13	50.1	39.08	52.63	28.68	30.7	39.93	33.47	21.73
USP32	235.63	309.29	266.75	330.4	372.66	254.72	311.52	370.67	250.78	203.41
SMARCA5	195.49	227.9	228.21	235.37	198.87	226.51	222.27	174.27	239.32	161.72
ZNF347	17.05	17.97	19.72	19.32	21.15	23.18	22.09	27.34	21.52	14.11
CARD6	4.16	10.67	7.13	7.8	7.02	9.34	6.7	8.94	6.79	5.79
TRIM55	0.04	0	0.04	0.09	0.07	0	0.06	0.04	0	0
TRIM63	0	0	0	0	0	0	0	0.05	0	0
KDM2B	11.68	11.47	9.34	11.29	11.19	12.54	10.49	14.79	12.64	11.93
SLC9A7	37.21	40.96	37.28	44.64	50.19	73.01	87.11	86.53	82.43	32.23
FKBP6	0.3	0.43	0.06	0.11	0.33	0.43	0.65	0.17	0.42	0.32
ACCS	12.06	14.84	4.6	4.23	4.36	6.58	11.48	7.04	11.56	10.92
HINT2	7.94	11.87	9.87	11.57	11.88	7.86	5.03	9.92	5.68	12.79
INSM2	1.22	0.88	0.45	0.21	0.49	0.86	0.79	1.01	0.7	0.28
PPP1R9B	49.39	32.75	28.75	28.09	32	43.03	50.43	49.21	35.21	30.23
C9orf24	1.22	0.21	0.39	0.17	0.44	0.32	0.52	0.56	0.34	0.28
MS4A14	0.29	0.43	0.08	0.29	0.5	0.68	1.03	0.67	0.35	0
SPATA22	0	0	0	0	0	0.26	0.25	0.05	0	0
FAM71F1	0.61	0.16	0.95	0	0.47	1.35	0.91	0.19	0.46	0.2
CCDC54	0.23	0.16	0	0.03	0	0.34	0.17	0.4	1.11	0.46
MCEE	1.67	2.59	2.35	1.54	1.78	1.13	1.06	1.73	0.69	3.15
GJA10	0	0	0	0.09	0.02	0	0	0.07	0	0
LOXL3	1.77	3.15	1.11	0.86	3.12	2.41	1.53	2.83	2.26	2.99
ABHD1	0.29	0.27	0	0.73	0.29	0.39	0.35	0.37	0.19	0.16
CAPS2	0.82	0.27	0.78	0.49	0.69	1.17	1.47	0.39	1.3	1.36
CREB3L3	1.2	2.25	0.82	0.86	1.75	2.27	0.65	0.58	0.46	1.08
CAT	78.03	92.45	72.46	86.87	109.28	59.08	42.3	62.93	60.28	91.34
SORBS2	235.11	311.4	267.55	262.59	294.48	318.35	417.82	351.5	203.1	109.74
MYO18B	1.5	3.24	10.7	0.63	3.07	8.33	4.91	2.34	0.38	0.08
COX4I2	0.05	0	0.02	0	0	0	0	0.1	0	0
GTPBP3	8.33	5.67	3.4	4.26	6.93	5.3	4.67	7.42	4.84	6.47
GPT2	63.48	49.57	43.73	40.25	53.27	54.79	37.71	46.51	40.99	34.78
BEX2	10.34	11.31	13.79	8.4	9.18	12.2	10.58	8.4	13.1	21.05
LNX1	1.86	4.2	2.76	2.11	2.96	4.7	3.01	3.13	4.34	1.3
C4orf49	193.87	295.01	213.5	283.12	247.37	128.63	120.21	159.54	119.46	175.07
IRS4	0	0	0.08	0	0.09	0.41	0.06	0.37	0.27	0.24
HDGFRP2	30.17	23.47	21.56	18.76	19.55	27.63	22.66	26.88	21.33	33.35
NCRNA00260	7.36	2.33	3.75	4.39	4.73	14.74	15.74	7.7	5.15	1.08
PIGO	27.84	23.45	20.07	20	30.72	25.55	21.48	31.51	21.73	23.37
PSRC1	1.54	1.18	0.76	0.51	0.71	1.67	0.49	1.28	0.77	1.48
PLEKHA8	15.76	13.85	14.03	12.27	16.14	18.76	16.52	18.21	21.41	8.76
PRRC2B	332.16	268.14	187.35	211.01	292.9	322.88	320.28	326.95	261.29	167.21
SPSB2	4.46	3.34	2.49	2.96	3.08	3.2	3.27	3.53	2.09	2.14
OGT	162.87	181.17	199.75	207.68	244.13	195.7	197.26	235.97	210.2	137.24
CBX2	0.93	0.75	0.49	0.97	0.5	1.2	0.96	1.47	2.3	0.96
FAM167B	0.27	0.11	0.14	0.11	0.51	0.26	0.56	0.35	0.16	0.24
CNDP1	0	0	0.04	0.09	0	0	0.14	0.02	0.07	0
AFAP1-AS1	1.04	1.47	1.15	0.46	0.62	0.49	1.05	1.17	0.69	0.44
UNC119B	27.16	32.19	30.56	26.6	36.34	26.75	26.81	28.45	22.74	18.1
USP30	9.1	14.84	8.43	11.87	10.19	12.61	10.04	12.61	10.93	12.51
FUT10	4.89	10.16	6.29	6.77	5.43	5.23	11.6	12.58	8.51	6.94
B3GNT9	15.05	14.6	8.41	13.96	16	13.14	9.86	19.89	16.5	19.02
PCGF1	8.13	8.98	6.57	9.12	9.31	9.1	5.31	7.48	7.36	12.09
CDC42BPA	135.89	161.7	153.92	149.93	154.28	151.75	172.73	191.55	159.77	123.89
ZNF577	5.7	5.91	4.9	3.89	4.94	3.05	5.83	4.58	4.5	2.22
EFCAB4B	69	32.19	18.07	31.72	31.84	20.19	36.01	52.99	37	34.84
SPRYD5	0.18	0.43	0.06	0.09	0.11	0.15	0	0.39	0	0.2
MPV17L2	4.68	5.91	3.38	4.07	7.93	5.53	4.18	6.71	4.32	5.95
GPR65	5.82	33.37	7.15	12.67	15.38	7.71	11.99	17.48	7.93	8.74
DDX11L2	0.47	0.91	0.06	0.34	0.09	0.3	0.65	1.14	0.83	0
ZNF607	5.61	5.67	5.98	5.7	5.93	6.77	5.11	3.95	6.19	4.49
NAA11	0	0	0.08	0	0.04	0	0.03	0.15	0	0
SUV420H2	4.76	2.83	2.31	2.29	4.01	4.66	4.13	4.93	4.24	4.91
MGC2889	0.18	0.05	0.82	0.34	0.17	0.36	0.22	0.15	0.16	0
HIRIP3	3.8	3.74	2.93	2.67	3.37	3.67	4.58	4.01	2.14	4.75
TUBA1C	245.14	166.41	281.18	253.97	230.29	235.02	139.62	214.38	210.3	213.21
C1orf97	2.92	4.89	5.56	4.37	4.19	6.62	3.19	3.5	3.36	4.01
C7orf70	5.41	7.14	8.53	8.59	8.72	7.5	8.24	9.53	7.21	7.48
MGC12982	0.14	0.05	0	0.14	0.06	0.04	0.06	0.07	0	0
PYROXD2	11.41	8.74	3.01	6.46	6.39	9.81	7.08	12.07	5.61	15.13
C19orf48	15.42	17.3	8.57	13.16	24.59	17.35	9.33	22.74	18.12	23.55
RAE1	18.07	18.31	18.18	19.63	25.41	18.93	15.04	19.5	21.11	16.66
AGPAT9	153.16	109.16	179.68	143.24	247.42	187.78	186.43	178.56	190.02	151.52
MFSD9	4.69	3.48	4.39	5.04	4.81	3.72	3.39	5.04	3.71	4.09
NFKBID	1.74	3.34	1.83	3.4	3.04	0.96	2.38	5.19	2.32	4.67
C1orf170	0	0	0.29	0.17	0.13	0.49	0.02	0.27	0.03	0.24
CROCCP2	3.8	3.64	2.35	2.47	2.75	4.25	2.44	7.68	3.31	3.05
OFD1	24.61	27.38	25.22	23.52	33.9	36.54	39.87	40.82	32.19	20.08
BUD13	9.78	9.17	10.82	11.83	11.05	12.89	10.52	10.86	10.57	17.42
PLCD4	3.24	1.6	1.57	1.1	2.16	2.39	1.84	1.95	0.87	0.46
PPAPDC3	3.85	4.68	1.34	2.2	3.87	2.12	1.19	3.03	1.22	2.53
MGC12916	2.01	2.35	1.4	3.47	1.47	0.53	1.59	3.42	1.46	1.2
RTN4IP1	5.89	6.07	6.02	4.6	5.12	5.39	4	4.25	5.61	5.43
TXNDC17	12.84	15.59	26.21	16.29	14.82	14.29	10.91	12.73	14.06	13.97
IL17RC	17.45	15.96	9.91	9.67	14.15	14.72	10.74	15.07	17.53	25.1
SEMA7A	66.74	36.68	26.91	25.55	37.29	66.15	69.75	58.54	68.65	82.8
POLR2J4	5.19	5.56	4.33	4.69	4.94	7.99	10.48	7.94	5.27	5.63
LMNB2	54.13	47.24	43.69	38.54	40.91	49.12	36.12	45.54	42.96	54.78
FCRLA	0.39	2.67	0.21	1.19	0.68	0.08	0.4	0.45	0.38	0.68
SFT2D3	10.07	15.11	11.42	16.45	15.38	15.28	10.03	12.62	11.91	16.44
CILP	3.28	2.91	6.2	4.22	8.3	4.44	11.2	14.82	4.4	6.51
C6orf105	0.07	0.53	0	0.09	0.3	0.15	0.09	0.32	0.08	0.16
ANKRD36BP1	11.37	18.1	16.07	19.25	28.62	13.74	22.73	24.89	19.66	10.44
USMG5	30.77	40.67	67.06	53.94	49	37.01	22.82	42.52	40.49	55.46
ABHD14B	9.4	13.96	8.84	9.84	12.4	10.36	11.19	12.31	9.11	9.96
C14orf128	1.04	0.48	0.37	0.83	0.4	1.09	0.8	0.52	0.3	0.08
ZNF496	22.18	14.33	10.96	11.2	17.49	23.93	17.82	26.45	21.6	22.55
RAX2	0.18	0	0	0	0.06	0	0.12	0.12	0.03	0.2
GALR3	0.11	0.11	0.31	0.09	0	0.26	0	0.02	0	0
HPDL	0.38	0.86	0.68	0.74	0.96	0.38	0.86	0.67	0.14	0.58
PHF5A	16.44	18.77	25.51	18.23	21.62	15.36	12.05	19.86	18.03	25.52
MGC16075	0.04	0	0	0	0.02	0.15	0.06	0.02	0.03	0
MGC16121	15.75	13.18	7.87	11.82	8.03	8.95	9.2	8.86	11.42	9.46
MGC16142	0.57	0.61	0.14	0.5	0.49	0.26	1	0.4	0.61	0
C9orf70	0	0	0	0	0	0	0	0.09	0	0
TRIM52	11.03	7.03	8.43	8.04	9.21	8.25	9.47	9.97	9.73	4.39
ATP1A1OS	20.58	8.8	11	9.69	13.86	14.68	18.33	19.35	12.89	6.31
LOC84856	0.82	1.31	0.64	1.14	1.24	0.86	1.05	2.56	2.79	1.24
ZNF503	5.68	0.88	1.57	2.01	2.02	2.46	2.55	2.11	1.21	0.88
LRCH3	28.39	32.62	29.65	32.86	30.89	33.61	33.36	35.84	29.61	24.67
KLHL22	14.71	14.22	12.12	10.37	15.03	11.65	11.25	15.54	13.13	20.28
MINA	22.84	29.6	30.73	24.82	25.98	26.67	21.94	23.38	23.78	14.63
CCDC142	20.17	15.19	14.05	10.53	21.74	19.23	17.96	25.17	16.75	13.13
TMEM25	6.02	7.49	3.94	5.17	6.7	5.23	5.29	7.86	6.75	9.98
PTPN5	0.25	0.53	0.21	0.06	0.24	0.34	0.14	0.3	0.08	0.08
HAVCR2	9.26	11.6	5.63	9.92	20.23	9.36	8.47	16.88	4.7	9.72
CBR4	9.55	13.21	16.34	10.92	8.82	8.38	12.02	7.91	11.58	11.37
SIP1	3.1	4.84	3.89	3.14	3.11	2.42	3.69	3.73	4.28	4.99
RSPO3	0.04	0.27	0.14	0.17	0.12	0	0.19	0.1	0.14	0.04
AGBL4	0	0	0	0	0.04	0	0	0.06	0	0
ZC3H10	5.61	3.74	3.09	3.23	6.69	3.8	3.98	6.62	4.61	5.37
GPR128	0	0.11	0	0	0.03	0.04	0.12	0.1	0	0
ZNF514	12.68	12.83	13.85	9.6	9.95	14.08	10.34	17.66	14.02	8.12
PARP10	27.43	33.79	18.94	24.52	24.84	18.63	13.67	29.71	21.79	38.06
ORAI1	5.7	6.68	4.53	4.67	5.16	7.95	6.17	4.87	3.69	4.99
ZBTB45	4.6	2.46	1.83	2.07	3.39	6.43	4.03	4.3	4.15	3.45
MFSD2A	20.08	7.78	17.31	14.26	22.57	10.77	13.04	18.97	12.8	8.78
RPUSD4	8.99	6.87	9.54	6.76	11.42	10.02	7.85	11.85	8.27	11.71
AIFM2	16.35	11.18	17.06	11.92	16.67	15.43	11.66	18	16.99	12.61
ZDHHC12	8.35	7.67	5.87	3.44	7.23	5.75	5.17	9.19	7.03	11.65
C1orf198	27.89	21.39	15.41	24.86	28.91	29.12	23.22	30.85	48.25	28.14
SPPL2A	43.65	59.06	59.29	75.66	73.87	55.96	61.3	58.06	47.61	43.5
SLC7A3	0	0	0	0	0.03	0	0.03	0.07	0.43	0.2
ADO	18.79	28.82	29.84	30.91	33.16	33.12	30.86	33.5	35.08	37.46
ZSCAN10	0.11	0	0	0	0.01	0	0	0.01	0	0
C3orf39	14.6	14.3	9.38	10.14	10.6	12.27	8.82	9.68	13.03	14.51
FBXO18	83.83	89.7	82.02	81.3	82.87	85.43	85.38	81.4	73.23	66.83
LINGO1	0.18	0.16	0.21	0	0.24	0.49	0.19	0.2	0.08	0
FAM73B	15.01	11.07	7.91	7.82	11.88	14.32	12	14.32	7.59	11.59
ATAD1	45.11	61.76	65.12	70.37	61.15	47.56	57.22	51.46	61.27	50.85
TBRG1	22.25	27.11	24.09	22.88	26.62	29.42	29.61	32.48	28.83	19.26
PLXDC2	260.8	198.33	140.48	210.48	253.74	240.49	238.04	275.89	317.57	297.2
TMTC4	9.23	13.42	9.83	12.13	11.14	14.89	14.44	11.38	19.71	16.36
RGS5	2.15	3.72	4.12	2.93	2.29	4.08	5.94	3.76	2.94	1.84
RNFT2	3.4	3.29	2.7	3	3.19	1.2	2.01	3.01	3.39	1.34
NFATC2IP	33.09	21.47	21.91	29.29	31.73	25.32	32.43	41.89	31.64	23.37
CEP89	22.19	20.75	19.82	18.85	14.88	17.76	21.01	19.85	21.45	21.53
C9orf100	1.02	1.12	1.44	1.03	1.86	2.18	1.6	2.57	1.07	1.18
ZNF341	3.26	2.78	1.57	2.6	2.61	2.18	3.1	3.01	1.59	2.91
FAM136A	21.25	21.12	27.43	28.73	18.82	15.98	16.99	23.25	19.77	19.24
C9orf3	22.86	18.56	21.1	16.3	21.09	23.87	25.66	23.23	19.51	14.49
MAP4K3	44.78	48.9	52.06	63.7	59.42	51.49	52.87	59.66	63.37	49.81
TMEM87B	47.18	53.07	54.1	50.51	61.99	45.73	54.12	60	69.83	46.1
ZNF382	4.64	6.52	7.05	4.43	7.28	6.05	5.34	5.96	6.37	4.53
SLC35B4	29.16	29.57	36.43	33.26	44.28	34.93	39.7	40.53	36.77	25.88
ATOH8	0.41	0.8	0.02	0.34	1.32	3.76	1.51	3.97	7.36	3.89
ZNF587	33.48	31.36	32.64	26.5	46.54	38.35	56.45	47.72	33.86	13.21
C12orf34	6.14	0.91	1.61	1.6	3.71	3.52	2.41	4.12	2.78	6.31
CIRH1A	35.07	25.56	33.59	27.46	42.98	25.28	32.8	33.85	27.34	12.55
LRP11	17.18	11.79	12.51	12.2	14.25	16.8	15.46	14.94	19	15.53
PPP1R15B	515.81	517.16	477.57	603.26	678.21	595.2	571.68	745.34	699.27	495.06
PRSS12	3.48	2.78	2.64	1.81	2.77	3.01	3.87	2.67	4.62	2.59
ALG10	3.21	4.63	5.85	5.49	5.22	3.72	4.01	4.32	5.11	3.27
FIZ1	5.55	3.15	1.67	2.59	4	6.13	3.78	4.53	2.18	3.17
FAM104A	244.17	222.1	132.18	252.84	199.86	125.87	221.92	150.55	258.71	274.83
ZNF566	9.03	5.78	10.67	8.5	14.75	9.49	9.89	10.26	8.25	5.89
DIRC2	20.19	29.62	21.51	26.96	22.17	21.17	18.16	24.57	26.88	34.18
SPRYD3	27.34	21.55	24.92	21.15	25.46	23.38	18.56	26.28	21.49	21.05
TMEM209	26.91	20.75	24.13	20.09	29.79	24.17	25.07	30.08	24	18.98
FIBCD1	2.79	3.5	0.7	2.64	2.33	1.75	0.68	1.83	1.69	2.83
PPM1D	13.92	13.07	13.77	16.25	22.07	18.01	18.96	20	26.76	16.44
MASTL	19.92	16.84	16.61	22.66	21.31	20.49	19.75	22.48	23.68	25.62
LOC84931	0.05	0	0	0	0	0	0	0.02	0	0
RAB2B	28.39	32.11	23.88	28.69	28.48	27.99	29.05	29.61	27.68	30.03
C8orf76	1.74	1.5	2.72	2.1	2.93	2.33	2.36	3.37	1.69	2.79
C12orf52	5.61	6.68	3.38	3.37	3.96	3.4	2.72	5.22	4.06	5.09
C13orf33	0.57	0.91	0.47	0.29	0.35	0.94	1.27	1.07	0.27	0.16
ZFYVE19	6.13	9.17	7.25	6.99	9.25	7.74	6.93	9.07	8.75	10.78
ZNRF1	12.5	13.58	10.55	11.54	15.67	18.14	13.39	14.77	10.51	8.26
ATG4C	3.94	9.33	6.51	4.27	6.24	5.94	5.68	4.07	3.86	4.61
MUM1	41.47	37.91	29.26	29.33	35.58	47.76	38.57	44.77	39.18	41.69
CORO6	5.64	2.27	2.99	1.84	2.82	3.08	5.12	5.25	2.53	2.41
HSH2D	1.58	14.28	2.37	4.4	4.09	2.42	3.47	5.95	2.1	1.84
WDR73	19.83	16.2	14.53	12.39	18.79	15.53	18	17.45	11.15	11.75
MAEL	0	0	0.33	0.14	0.1	0	0	0.48	0.05	0
ABHD13	13.38	16.95	23.18	17.26	16.56	18.46	17.74	17.82	23.87	12.99
LTV1	17.9	28.1	31.78	21.93	17.39	24.42	25.22	16.45	24.28	14.81
SERAC1	14.92	12.27	15.89	15.77	16.04	14.44	15.89	18	13.64	7.74
TIGD5	9.48	8.45	5.69	6.19	11.4	7.5	5.15	11.66	8.29	9.84
PPFIBP2	1.04	2.59	0.78	2.37	2.23	0.86	1.96	2.48	1.25	1.32
PRPF38A	24.25	30.05	24.44	21.66	18.76	30.04	29.1	18.51	26.01	21.81
TNS4	0.16	0.05	0.1	0.11	0.43	0.62	0.79	0.42	0.45	0.18
CGNL1	8.46	4.12	3.89	4.14	7.07	11.5	10.44	10.02	8.64	5.27
MICALCL	2.11	1.87	1.77	2.37	1.18	1.52	1.54	2.3	0.76	0.76
MPND	5.77	4.65	2.45	1.47	5.14	4.12	3.96	4.83	3.77	4.63
NUDCD1	23.88	31.76	35.78	29.93	23.95	26.15	26.27	23.86	33.17	22.39
RELT	24.88	17.22	11.95	12.24	18.98	13.06	17.88	31.2	16.3	12.89
SYTL1	0.5	2.54	0.58	1.37	1.93	0.79	1.1	2.65	1.68	2.06
UBASH3B	4.66	9.71	8.7	8.84	15.57	9.87	7.51	13.75	4.96	5.41
PPFIBP1	43.65	28.18	52.3	34.02	47.88	77.11	65.01	75	82.85	40.57
KIAA1984	10.44	7.57	2.99	6.5	4.8	6.54	9.38	6.29	3.64	3.33
FBXL20	76.94	72	63.72	71.11	88.1	109.81	97.37	117.22	76.34	57.01
JUB	9.28	7.35	5.48	5.92	6.82	13.23	9.3	17.58	16.71	12.03
ALKBH6	8.38	9.12	3.19	5.3	6.65	6.54	5.06	7.91	5.08	7.08
IGSF21	0	0.05	0.08	0	0	0	0	0.05	0.07	0
LSM10	4.37	2.51	4.45	1.89	2.69	4.34	3.69	2.7	3.09	2.35
PNMA6A	0	0.7	0	0.26	0.99	0.23	0	0.02	0.68	0.24
TOX2	43.89	24.17	21.84	26.32	25.6	46.99	81.31	28.99	40.65	26.1
PPFIA4	7.08	5.21	3.48	2.09	2.98	1.71	2.58	1.99	1.49	0.48
C1orf94	0	0	0.08	0	0	0	0	0.02	0	0
ATG4D	8.6	9.84	4.49	6.14	5.37	8.2	6.28	6.5	8.13	15.35
SNHG7	10.59	14.54	6.78	7.69	11.32	8.53	6.71	13.04	9.92	15.79
MFSD5	7.92	9.46	9.95	8.36	12.04	11.07	7.13	12.55	10.83	11.28
DISP1	32.76	37.08	20.15	32.33	36.79	35.66	29.04	45.49	47.44	40.07
FRMD5	7.77	7.89	27.12	10.49	14.56	23.53	12.17	13.37	9	6.23
RANBP3	34.14	35.05	21.62	26.3	32.93	31.5	31.78	32.2	29.37	33.9
C17orf91	183.09	104.67	164.39	155.58	215.59	157.43	151.35	219.96	155.65	156.01
MGC14436	0.5	0.21	0.1	0.26	0.11	0.39	0.22	0.24	0.12	0.44
CEP19	5.79	7.22	3.11	3.06	3.73	3.67	3.56	4.61	3.69	4.91
FAM83A	2.17	0.43	0.56	1.13	0.9	0.11	1.23	0.79	0.57	0.82
ARHGAP19	8.53	13.29	7.81	9.54	9.78	9.25	9.61	10.57	11.03	13.77
C12orf62	12.13	12.67	17.89	11.34	16.22	12.63	8.64	10	10.27	21.37
PPP1R16A	9.26	9.22	7.56	8.02	10.74	8.74	6.14	12.05	8.82	11.26
LOC84989	9.08	6.98	4.72	7.09	10.47	8.38	4.63	12.28	4.54	7.14
PPFIA2	3.05	5.51	4.6	4.83	4.5	3.44	4.24	4.26	5.8	3.99
RBM17	25.1	22.35	21.78	18.22	20.06	21.28	29.45	21.1	18.25	17.46
UBL7	54.8	60.24	37.28	40.98	50.5	55.28	40.67	47.84	53.24	89.84
C21orf119	3.22	4.04	1.11	2.26	2.01	5.32	2.68	3.09	2.56	6.45
PPFIA1	85.82	73.95	64.44	71.96	81.05	79.89	101.01	87.57	82.62	57.85
MGC16275	0.5	0.99	0.95	0.67	0.95	0.71	0.68	1.17	0.99	1.12
FAM86B1	4.85	3.48	4.84	2.94	4.2	3.67	6.57	5.86	5.72	4.45
RERG	0.18	0.32	0.39	0.09	0.19	0.64	0.34	0.52	0.22	0
AGXT2L2	23.7	19.25	19.39	18.8	21.63	30.36	26.18	32.98	22.09	27.52
MGC16025	2.67	2.97	1.03	1.14	1.75	1.94	2.98	2.66	1	0.64
SLC43A1	5.82	3.24	1.88	2.01	2.4	2.56	4.12	3.86	3.64	6.55
TCEAL3	22.57	17.99	30.54	15.55	16.08	39.47	39.29	18.96	25.46	26.94
TMEM128	5.23	6.42	7.42	6.9	9.67	6.99	7.87	6.96	5.18	5.81
TMEM141	85.05	80.34	79.22	69.34	107.05	60.98	50.08	74.17	48.28	129.93
USP45	8.06	13.37	11.75	10.13	8.86	9.04	15.06	11.14	10.74	7.58
C11orf70	3.51	2.7	3.01	2.43	3.49	2.31	3.3	2.84	2.75	2.02
C18orf45	6.23	6.66	6.31	4.16	5.85	4.91	5.58	6.17	5.99	6.63
PKP4	37.76	40.32	36.33	40.01	30.96	37.35	40.78	34.16	24.47	34.28
REPS1	79.75	127.32	130.18	161.81	176.92	123.22	150.1	142.41	163.11	81.54
TMEM60	5.3	7.35	8.55	6.26	5.74	6.24	4.57	5.2	4.5	9.16
C9orf37	3.39	2.14	2.58	2.03	3.98	3.57	3.66	4.52	1.79	3.49
C5orf62	72.32	91.76	65.99	114.16	112.31	46.3	59.6	118.97	76.51	117.12
SNHG12	2.1	1.28	2.35	1.03	1.93	2.12	2.59	1.79	2.45	2.24
PIK3R3	8.53	12.73	9.25	8.06	11.19	10.96	9.74	11.76	7.85	7.62
PEX3	8.53	10.32	11.64	12.22	9.5	10.56	8.28	9.38	10.46	10.44
PARG	29.2	39.2	37.24	36.53	36.54	39.17	42.03	37.35	34.78	27.18
CNTNAP1	3.31	3.56	0.99	1.6	2.32	2.61	3.7	2.84	1.75	1.38
ENC1	20.39	46.33	40.23	49.14	59.32	41.22	32.85	67.96	24.98	31.53
NIPSNAP1	53.35	72.13	64.26	65.24	60.31	45.81	30.04	50.42	46.81	68.37
NDST2	20.78	19.7	10.86	16.22	16.32	18.72	17.57	21.75	16.1	15.63
MMP23B	0.07	0	0.04	0.06	0.11	0.09	0	0.12	0.14	0.38
MMP23A	0.25	0	0	0	0	0	0	0	0	0
MBL1P	0.11	0	0.45	0.17	0	0.11	0.15	0.17	0	0
LIPF	0	0.37	0.06	0	0.31	0.32	0.08	0.34	0.07	0
KCNAB2	7.43	14.62	4.66	7.2	9.96	8.05	8.18	11.86	4.2	8.68
ITGA10	1.09	0.37	0.62	0.1	0.46	0.41	0.62	0.75	0.43	0
ITGA8	0	0	0.04	0.06	0.02	0	0.25	0.22	0	0.08
IKBKG	18.86	19.81	16.86	17.23	23.39	23.57	24.41	27.41	17.74	22.89
IKBKAP	65.04	56.36	92.1	58.48	91.82	61.99	64.75	70.18	57.67	50.93
IFITM1	11.36	78.6	10.55	17.26	19.24	8.44	10.06	24.98	10.42	19.32
HAT1	41.49	36.84	48.49	41.31	47.86	39.51	52.01	49.98	51.68	39.23
GCM1	3.15	1.18	3.36	1.49	3.86	3.01	4.49	1.78	2.03	0.2
GAS7	9.62	23.82	5.83	16.93	23.22	11.05	11.99	33.71	11.92	13.59
HIST1H2AH	2.87	4.44	2.93	3.41	2.29	4.55	1.5	2.12	4.28	18.72
HIST1H2BK	47.83	60.13	40.74	55.71	56.44	52.29	51.39	39.2	45.05	75.57
DGKZ	36.85	27.73	15.64	23.83	23.81	37.31	27.89	28.97	34	36.32
DGKE	7.68	7.19	8.18	9.97	11.08	10.36	12.14	12.07	13.35	5.57
DGKD	64.13	52.11	47.83	52.92	65.21	60.49	81.26	88.91	56.49	47.95
DDO	1.4	1.5	2.29	1.81	1.18	0.26	0.68	1.07	1.41	0.36
KRTAP9-4	0	0	0	0	0	0	0	0.02	0	0
KRTAP4-1	0	0	0	0	0	0	0	0.05	0	0
KRTAP4-5	0	0	0.04	0	0	0	0	0	0	0
CYP4F2	0	0	0	0.09	0.06	0	0.08	0.04	0	0.04
KRTAP4-2	0	0	0	0	0.02	0	0	0	0	0
KRTAP3-3	0	0	0	0	0.03	0	0	0	0	0
CST7	1.2	7.67	2.27	7.19	5.07	2.2	3.46	7.71	1.86	2.27
ATCAY	6.14	3.13	3.73	2.53	4.63	3.68	5.06	5.88	3.2	2.04
COL27A1	2.45	3.21	1.75	0.94	2.17	1.47	1.36	2.21	0.84	1.18
FBF1	6.59	6.55	4.47	4.74	6.5	8.48	8.33	11.23	6.19	6.73
CSDA	298.34	228.06	191.18	202.12	109.83	260.04	260.19	192.62	270.19	259.74
PPIL4	35.04	34.84	43.4	37.84	34.78	44.1	44.51	33.76	47.63	37.1
PAQR8	20.71	15	13.42	21.7	20.32	18.59	12.84	30.61	32.08	33.79
BAGE5	0	0	0	0.03	0	0	0	0	0.03	0
BAGE4	0	0.05	0	0	0	0	0	0	0	0
BAGE3	0	0	0	0.03	0	0.3	0.15	0.04	0.14	0.08
BAGE2	0	0.05	0.12	0	0.02	0.23	0.15	0.02	0.04	0
CPZ	0.79	0.64	0.12	0.29	0.5	0.68	0.39	0.96	0.68	0.78
ABCC11	0.14	0.16	0.21	0.09	0.21	0.19	0.2	0.19	0.24	0.24
LGALS12	0.59	3.93	1.2	2.01	7.99	0.34	1.45	2.01	0.15	0.56
COPS3	36.67	33.85	37.73	52.98	46.17	34.31	30.3	35.44	41.49	46.3
CHST1	6.79	2.03	1.79	1.26	3.14	8.27	4.86	6.11	6.77	8.36
CBX4	17.39	18.96	11.13	13.59	15.27	21.15	20.69	25.9	25.27	28.32
KIAA1644	0.86	0.21	0.08	0.06	0.16	0.19	0.28	0.19	0.33	0.08
SHANK3	2.97	1.87	1.96	1.86	1.72	3.74	2.58	3.44	1.96	0.54
DGCR6L	13.86	8.56	10.3	11.99	12.06	12.05	8.66	14.17	10.01	17.78
CAMK1	30.65	14.76	30.23	23.25	43.09	69.29	28.02	55.11	59.79	77.41
SYDE1	11.64	13.34	5.89	4.83	10.2	7.95	7.02	12.74	10.65	12.65
TRIM5	20.51	27.65	21.14	24.18	24.25	22.95	18.39	22.62	24.7	23.83
ZCCHC3	18.67	12.11	13.77	10.92	13.45	20.3	14.53	17.35	15.38	21.05
ALG2	26.17	40.08	35.34	38.14	39.06	31.99	33.11	35.03	36.01	32.79
MYLK2	0.18	0.27	0.08	0	0.3	0	0.35	0.35	0	0.18
FAM40A	31.1	33.39	24.98	28.98	31.6	35.09	29.5	35.15	31.14	34.92
BCAS1	1.13	3.69	0.72	3.77	1.28	0.36	1.22	1.02	0.5	1.36
KIAA1656	9.49	5.21	4.47	5.32	6.22	8.78	9.46	9.73	5.84	5.33
